brand,model,chipset,memory,core_clock,boost_clock,color,length,price
GALAX,OC V2,GeForce RTX 2060 SUPER,8,1470,1680,Silver / Black,230,
Asus,STRIX GAMING OC,Radeon RX 5600 XT,6,1247,1770,Black,303.7,672.18
PNY,XLR8 Gaming Overclocked Edition,GeForce RTX 2080 Ti,11,1350,1635,Black / Silver,301.752,1159.94
Gigabyte,OC Low Profile,GeForce GTX 1650,4,1485,1695,Black,166.9,203.95
XFX,FATBOY OC+,Radeon RX 590,8,1580,1600,Black / Red,270,
NVIDIA,9001G4012510000,GeForce GTX 970,4,1050,1178,Black / Silver,267,
Asus,ROG STRIX-GTX1070-O8G-GAMING,GeForce GTX 1070,8,1632,1860,Black,298,1031.34
Zotac,GAMING Twin Fan,GeForce GTX 1660,6,1530,1785,Black,215.9,
PowerColor,AXRX 580 8GBD5-3DHDV2/OC,Radeon RX 580,8,1257,1350,Black,255,
ASRock,Challenger D OC,Radeon RX 5600 XT,6,1235,1620,Black / Silver,240.5,431.35
Zotac,MINI,GeForce RTX 2060 SUPER,8,1470,1650,Silver / Black,209.6,799.99
EVGA,KO GAMING,GeForce RTX 2080 SUPER,8,1650,1815,Black,269.83,
Asus,STRIX GAMING OC,Radeon RX 5500 XT,8,1607,1865,Black,280,286.33
EVGA,SC GAMING ACX 3.0 Black Edition,GeForce GTX 1070 Ti,8,1607,1683,Black,267,868.29
GALAX,EX,GeForce GTX 1650 SUPER,4,1530,1740,Black,212,
XFX,THICC II Pro,Radeon RX 5500 XT,8,1607,1845,Black / Red,281,
Palit,Super JetStream,GeForce GTX 1080,8,1708,1847,Black / Gray,285,
EVGA,FTW3 ULTRA GAMING,GeForce RTX 2070 SUPER,8,1605,1815,Transparent,301.925,
Gigabyte,MINI ITX OC,GeForce GTX 1660 Ti,6,1500,1785,Black / Gray,170,
EVGA,SC Ultra Black,GeForce GTX 1660 SUPER,6,1530,1785,Black,202,
XFX,RAW II,Radeon RX 5700 XT,8,1605,1905,Black,278,
Zotac,GAMING OC,GeForce GTX 1650,4,1485,1695,Black / Silver,151,
MSI,GAMING,GeForce GTX 1070 Ti,8,1607,1683,Black / Red,279,745.00
Gigabyte,WINDFORCE OC,GeForce GTX 1060 6GB,6,1582,1797,Black / Red,223,379.00
XFX,THICC III Ultra 2,Radeon RX 5700 XT,8,1810,2025,Black / Silver,315,
Asus,ROG STRIX,Radeon RX 580,8,1257,1380,Black,298,449.99
NVIDIA,Founders Edition,GeForce RTX 2080,8,1515,1800,Black / Silver,267,
Gigabyte,MINI ITX OC,GeForce GTX 1660 SUPER,6,1530,1800,Black / Silver,170,
Zotac,MINI,GeForce GTX 1050 Ti,4,1303,1417,Black,145,234.22
Asus,ROG STRIX,GeForce GTX 1070 Ti,8,1607,1759,Black,298,799.95
MSI,VENTUS XS OC,GeForce GTX 1650,4,1485,1740,Black / White,170,314.98
Gigabyte,OC Low Profile,GeForce GTX 1050 Ti,4,1328,1442,Black,167,159.99
Palit,StormX,GeForce GTX 1050 Ti,4,1290,1392,Black,166,199.36
Gigabyte,GAMING,GeForce GTX 1070,8,1594,1822,Black / Orange,280,559.99
EVGA,XC3 GAMING,GeForce RTX 3090,24,1400,1695,Black / Red,285,
MSI,VENTUS XS OC,GeForce RTX 2080 SUPER,8,1650,1830,Silver / Black,257,
Asus,EN8400GS SILENT/DI/512MD2,GeForce 8400 GS,0.5,589,,,170,
Gigabyte,GAMING OC,GeForce RTX 2060 SUPER,8,1470,1815,Black,280.35,
MSI,MECH OC,Radeon RX 5700,8,1515,1750,Black,232,
Gigabyte,GAMING,GeForce GTX 1660 SUPER,6,1530,1785,Black,280,
EVGA,XC3 GAMING,GeForce RTX 3070,8,1500,1725,Black / Silver,285.242,
ASRock,Challenger Pro OC,Radeon RX 5600 XT,6,1420,1750,Black,279.93,
Gigabyte,WINDFORCE,GeForce RTX 2060,6,1365,1770,Black,264.9,649.00
