brand,model,speed,modules,price_per_gb,color,first_word_lat,cas_lat,price
Corsair,Vengeance LPX 32 GB,DDR4-2400,2 x 16GB,3.250,Black / Yellow,13.333,16,103.99
Corsair,Vengeance RGB Pro 64 GB,DDR4-3600,4 x 16GB,8.359,White,10,18,534.99
Patriot,Viper 4 8 GB,DDR4-3000,2 x 4GB,4.999,Black / Red,10.667,16,39.99
Patriot,Viper 4 Blackout 16 GB,DDR4-3000,2 x 8GB,3.562,Black,10.667,16,56.99
Kingston,HyperX Fury RGB 16 GB,DDR4-2666,2 x 8GB,4.561,Black,12.003,16,72.98
G.Skill,Ripjaws V 32 GB,DDR4-3600,4 x 8GB,5.156,Black,8.889,16,164.99
G.Skill,Ripjaws V Series 16 GB,DDR4-3200,2 x 8GB,6.249,Black,8.75,14,99.99
Corsair,Vengeance LPX 32 GB,DDR4-3200,4 x 8GB,4.312,Black / Yellow,10,16,137.99
Thermaltake,TOUGHRAM RGB 16 GB,DDR4-3600,2 x 8GB,6.874,Black / Silver,10,18,109.99
Corsair,Vengeance LPX 16 GB,DDR4-3200,2 x 8GB,3.937,Red,10,16,62.99
G.Skill,Trident Z RGB 16 GB,DDR4-3000,2 x 8GB,5.312,Black,10.667,16,84.99
G.Skill,Ripjaws V 128 GB,DDR4-3200,4 x 32GB,3.594,Black,10,16,459.99
G.Skill,Trident Z Neo 16 GB,DDR4-3200,2 x 8GB,5.624,Silver / Black,10,16,89.99
G.Skill,TridentZ RGB 32 GB,DDR4-3200,2 x 16GB,5.781,Black,9.375,15,184.99
G.Skill,Trident Z Royal 32 GB,DDR4-3600,2 x 16GB,6.250,Silver,8.889,16,199.99
Patriot,Viper 3 16 GB,DDR3-1866,2 x 8GB,3.437,Black / Silver,10.718,10,54.99
ADATA,XPG GAMMIX D10 16 GB,DDR4-3000,2 x 8GB,5.956,Black / White,10.667,16,95.30
G.Skill,Trident Z Neo 32 GB,DDR4-3800,4 x 8GB,18.406,Black / Silver,7.368,14,589.00
GeIL,EVO SPEAR Phantom Gaming 16 GB,DDR4-3200,2 x 8GB,3.624,Black,10,16,57.99
Crucial,Ballistix 16 GB,DDR4-3000,2 x 8GB,4.684,Black,10,15,74.95
Corsair,Vengeance LPX 64 GB,DDR4-3200,4 x 16GB,5.344,Black / Yellow,10,16,341.99
ADATA,XPG SPECTRIX D60G 16 GB,DDR4-3600,2 x 8GB,,White,10,18,
Corsair,Vengeance LPX 16 GB,DDR4-5000,2 x 8GB,,Black / Yellow,7.2,18,
Corsair,Vengeance LPX 8 GB,DDR4-2400,2 x 4GB,5.124,Black / Yellow,13.333,16,40.99
Crucial,Ballistix Elite 16 GB,DDR4-4000,2 x 8GB,5.937,Black,9,18,94.99
Kingston,KTH-PL426LQ/64G 64 GB,DDR4-2666,1 x 64GB,5.643,Green / Black,14.254,19,361.12
G.Skill,Flare X 16 GB,DDR4-3200,2 x 8GB,3.999,Black,10,16,63.99
